X2 Damage,,X2 Damage,Х2 урона,Yükleniyor..,Daño X2,Kerusakan X2,,,,,,,,,,,,,,,,,,,,,,
You Win!,,You Win!,Вы выиграли!,Sen kazandın!,¡Tú ganas!,,,,,,,,,,,,,,,,,,,,,,,
Day,,Day,День,Başardın!,Día,Hari,,,,,,,,,,,,,,,,,,,,,,
UNLOCK,,UNLOCK,РАЗБЛОКИРОВАТЬ,Bir sonraki seviye artık mevcut,DESCUBRIR,MEMBUKA KUNCI,,,,,,,,,,,,,,,,,,,,,,
PLAY,,PLAY,ИГРАТЬ,Acele edin ve oynayın!,JUGAR,BERMAIN,,,,,,,,,,,,,,,,,,,,,,
coming soon,,coming soon,вскоре,Fiyat bırakmayı unutmayın,muy pronto,segera hadir,,,,,,,,,,,,,,,,,,,,,,
noob toilet,,noob toilet,нубский туалет,çaylak tuvalet,baño novato,toilet noob,,,,,,,,,,,,,,,,,,,,,,
FREE,,FREE,БЕСПЛАТНО,ÖZGÜR,GRATIS,BEBAS,,,,,,,,,,,,,,,,,,,,,,
CHARACTERS,,CHARACTERS,ПЕРСОНАЖИ,KARAKTERLER,PERSONAJES,KARAKTER,,,,,,,,,,,,,,,,,,,,,,
GET,,GET,ПОЛУЧАТЬ,Dil,CONSEGUIR,MENDAPATKAN,,,,,,,,,,,,,,,,,,,,,,
Random locked item,,Random locked item,Случайный заблокированный предмет,Rastgele kilitli öğe,Elemento bloqueado aleatoriamente,Barang terkunci secara acak,,,,,,,,,,,,,,,,,,,,,,
hide canvas,,hide canvas,скрыть холст,Başlangıç,ocultar lienzo,menyembunyikan kanvas,,,,,,,,,,,,,,,,,,,,,,
change post processing,,change post processing,изменить постобработку,Ayarlar,cambiar postprocesamiento,mengubah pemrosesan pasca,,,,,,,,,,,,,,,,,,,,,,
give stars and tickets,,give stars and tickets,подарить звезды и билеты,Çıktı,regala estrellas y boletos,berikan bintang dan tiket,,,,,,,,,,,,,,,,,,,,,,
unlock all,,unlock all,разблокировать все,hepsinin kilidini aç,desbloquear todo,membuka kunci semua,,,,,,,,,,,,,,,,,,,,,,
remove ad,,remove ad,,reklamı kaldır,eliminar anuncio,hapus iklan,,,,,,,,,,,,,,,,,,,,,,
show texture,,show texture,показать текстуру,dokuyu göster,mostrar textura,menunjukkan tekstur,,,,,,,,,,,,,,,,,,,,,,
CHEAT MENU,,CHEAT MENU,ЧИТ-МЕНЮ,Reklam..,MENÚ DE TRUCOS,MENU CHEAT,,,,,,,,,,,,,,,,,,,,,,
CLAIM,,CLAIM,ТРЕБОВАТЬ,{0} reklam..,AFIRMAR,MENGEKLAIM,,,,,,,,,,,,,,,,,,,,,,
SPIN,,SPIN,ВРАЩАТЬСЯ,DÖNDÜRMEK,GIRAR,PUTARAN,,,,,,,,,,,,,,,,,,,,,,
Review,,Review,Обзор,Ses,Revisar,Tinjauan,,,,,,,,,,,,,,,,,,,,,,
Which character to add in the update?,,Which character to add in the update?,Какого персонажа добавить в обновление?,Usta,¿Qué personaje agregar en la actualización?,Karakter mana yang ditambahkan dalam pembaruan?,,,,,,,,,,,,,,,,,,,,,,
HALLOWEEN,,HALLOWEEN,ХЭЛЛОУИН,Müzik,VÍSPERA DE TODOS LOS SANTOS,HALLOWEEN,,,,,,,,,,,,,,,,,,,,,,
STARTER PACK,,STARTER PACK,СТАРТОВЫЙ ПАКЕТ,SXF,PAQUETE DE INICIO,PAKET STARTER,,,,,,,,,,,,,,,,,,,,,,
STARER PACK,,STARER PACK,СТАРЕР ПАКЕТ,UI,PAQUETE ESTRELLA,PAKET BINTANG,,,,,,,,,,,,,,,,,,,,,,
Сommunity,,Сommunity,Сообщество,Topluluk,comunidad,Komunitas,,,,,,,,,,,,,,,,,,,,,,
ULTIMATE PACK,,ULTIMATE PACK,ЛУЧШИЙ ПАКЕТ,Kontroller,PAQUETE ÚLTIMO,PAKET TERBAIK,,,,,,,,,,,,,,,,,,,,,,
NEW YEAR,,NEW YEAR,НОВЫЙ ГОД,"Ne kadar uzun, o kadar yüksek!",AÑO NUEVO,TAHUN BARU,,,,,,,,,,,,,,,,,,,,,,
Ok,,Ok,Хорошо,Taşınmak,De acuerdo,Oke,,,,,,,,,,,,,,,,,,,,,,
Reward ad is not loaded yet,,Reward ad is not loaded yet,Объявление с вознаграждением еще не загружено,Zıplamak,El anuncio de recompensa aún no está cargado,Iklan hadiah belum dimuat,,,,,,,,,,,,,,,,,,,,,,
SPEAKERNOOB,,SPEAKERNOOB,СПИКЕРНУБ,Duraklat,ALTAVOZ,PEMBICARA NOOB,,,,,,,,,,,,,,,,,,,,,,
TITAN,,TITAN,ТИТАН,Kamera,TITÁN,TITAN,,,,,,,,,,,,,,,,,,,,,,
CAMERANOOB,,CAMERANOOB,КАМЕРАНУБ,Son kontrol noktasına,CAMERANOOB,KAMERANOOB,,,,,,,,,,,,,,,,,,,,,,
TITAN,,TITAN,ТИТАН,Dostluk Yolu,TITÁN,TITAN,,,,,,,,,,,,,,,,,,,,,,
Lucky,,Lucky,Удачливый,Zorluk,Afortunado,Beruntung,,,,,,,,,,,,,,,,,,,,,,
Block,,Block,Блокировать,Girin,Bloquear,Memblokir,,,,,,,,,,,,,,,,,,,,,,
AD AVAILABLE,,AD AVAILABLE,ОБЪЯВЛЕНИЕ ДОСТУПНО,Cehennem kulesi,ANUNCIO DISPONIBLE,IKLAN TERSEDIA,,,,,,,,,,,,,,,,,,,,,,
Ads will be shown 10s later,,Ads will be shown 10s later,Объявления будут показаны через 10 секунд.,Reklamlar 10 saniye sonra gösterilecek,Los anuncios se mostrarán 10 segundos después.,Iklan akan ditampilkan 10 detik kemudian,,,,,,,,,,,,,,,,,,,,,,
FOREVER,,FOREVER,НАВСЕГДА,SONSUZA KADAR,PARA SIEMPRE,SELAMANYA,,,,,,,,,,,,,,,,,,,,,,
AD NOT AVAILABLE,,AD NOT AVAILABLE,ОБЪЯВЛЕНИЕ НЕ ДОСТУПНО,REKLAM MEVCUT DEĞİL,ANUNCIO NO DISPONIBLE,IKLAN TIDAK TERSEDIA,,,,,,,,,,,,,,,,,,,,,,
TV NOOB,,TV NOOB,ТВ-НУБ,TV NOOB'u,NOVATO DE LA TV,TV NOOB,,,,,,,,,,,,,,,,,,,,,,
Here's bonus for you!,,Here's bonus for you!,Вот вам бонус!,İşte size bonus!,¡Aquí tienes un bono!,Ini bonusnya untukmu!,,,,,,,,,,,,,,,,,,,,,,
Restore purchases,,Restore purchases,Восстановление покупок,Satın alınanları geri yükle,Restaurar compras,Pulihkan pembelian,,,,,,,,,,,,,,,,,,,,,,
Unlock,,Unlock,Разблокировать,Kilidi aç,Descubrir,Membuka kunci,,,,,,,,,,,,,,,,,,,,,,
10s to ad timer,,10s to ad timer,10 секунд до таймера рекламы,Tıklayın - kontrol noktasına ışınlanın,10 segundos al temporizador de anuncios,10 detik ke pengatur waktu iklan,,,,,,,,,,,,,,,,,,,,,,
Volcano,,Volcano,Вулкан,Volkan,Volcán,Gunung berapi,,,,,,,,,,,,,,,,,,,,,,
Start a war ->,,Start a war ->,Начать войну ->,Bir savaş başlat ->,Iniciar una guerra ->,Mulai perang ->,,,,,,,,,,,,,,,,,,,,,,
New 3 Characters!,,New 3 Characters!,Новые 3 персонажа!,Yeni 3 karakter!,¡Nuevos 3 personajes!,3 karakter baru!,,,,,,,,,,,,,,,,,,,,,,
Are you sure you want,,Are you sure you want,"Вы уверены, что хотите",istediğinden emin misin,¿Estás seguro de que quieres,Apakah kamu yakin kamu mau,,,,,,,,,,,,,,,,,,,,,,
CLEAR MAP?,,CLEAR MAP?,ОЧИСТИТЬ КАРТУ?,HARİTA TEMİZLENSİN Mİ?,¿BORRAR MAPA?,HAPUS PETA?,,,,,,,,,,,,,,,,,,,,,,
CLICK TO GET!,,CLICK TO GET!,"НАЖМИТЕ, ЧТОБЫ ПОЛУЧИТЬ!",ALMAK İÇİN TIKLAYIN!,¡HAGA CLIC PARA OBTENER!,KLIK UNTUK MENDAPATKAN!,,,,,,,,,,,,,,,,,,,,,,
Daily Reward,,Daily Reward,Ежедневная награда,Günlük Ödül,Recompensa diaria,Hadiah Harian,,,,,,,,,,,,,,,,,,,,,,
Get,,Get,Получать,Almak,Conseguir,Mendapatkan,,,,,,,,,,,,,,,,,,,,,,
Lock camera,,Lock camera,Заблокировать камеру,Kamerayı engelle,bloquear cámara,Kunci kamera,,,,,,,,,,,,,,,,,,,,,,
zoom,,zoom,масштабировать,ölçek,zoom,memperbesar,,,,,,,,,,,,,,,,,,,,,,
Advertising in,,Advertising in,Реклама в,Reklam verme,Publicidad en,Beriklan di,,,,,,,,,,,,,,,,,,,,,,
ad,,ad,объявление,reklam,anuncio,iklan,,,,,,,,,,,,,,,,,,,,,,
Protect noob,,Protect noob,Защити нуба,Noob'u koruyun,Proteger al novato,Lindungi pemula,,,,,,,,,,,,,,,,,,,,,,
Want more items?,,Want more items?,Хотите больше товаров?,Daha fazla ürün ister misiniz?,¿Quieres más artículos?,Ingin lebih banyak item?,,,,,,,,,,,,,,,,,,,,,,
Tired of advertising?,,Tired of advertising?,Устали от рекламы?,Reklamlardan bıktınız mı?,¿Estás cansado de la publicidad?,Bosan beriklan?,,,,,,,,,,,,,,,,,,,,,,
Do you want more weapons?,,Do you want more weapons?,Хотите больше оружия?,Daha fazla silah mı istiyorsunuz?,¿Quieres más armas?,Apakah Anda ingin lebih banyak senjata?,,,,,,,,,,,,,,,,,,,,,,
Want more characters?,,Want more characters?,Хотите больше персонажей?,Daha fazla karakter mi istiyorsunuz?,¿Quieres más personajes?,Ingin lebih banyak karakter?,,,,,,,,,,,,,,,,,,,,,,
Do you have an idea?,,Do you have an idea?,У вас есть идея?,Bir fikrin var mı?,¿Tienes una idea?,Apakah Anda punya ide?,,,,,,,,,,,,,,,,,,,,,,
Write a review!,,Write a review!,Напишите отзыв!,Bir inceleme yazın!,¡Escribe una reseña!,Tulis ulasan!,,,,,,,,,,,,,,,,,,,,,,
(Click to go),,(Click to go),"(Нажмите, чтобы пойти)",(Gitmek için tıklayın),(Haga clic para ir),(Klik untuk pergi),,,,,,,,,,,,,,,,,,,,,,
Submit your skin by August 20 in our community. We will pick a winner at random and add it to the game FOREVER!,,Submit your skin by August 20 in our community. We will pick a winner at random and add it to the game FOREVER!,Отправьте свой скин до 20 августа в нашем сообществе. Мы случайным образом выберем победителя и добавим его в игру НАВСЕГДА!,Cildinizi 20 Ağustos'tan önce topluluğumuza gönderin. Rastgele bir kazanan seçeceğiz ve onu sonsuza dek oyuna ekleyeceğiz!,Envía tu skin antes del 20 de agosto en nuestra comunidad. ¡Elegiremos un ganador al azar y lo agregaremos al juego PARA SIEMPRE!,Kirimkan skin Anda paling lambat tanggal 20 Agustus di komunitas kami. Kami akan memilih pemenang secara acak dan menambahkannya ke dalam game SELAMANYA!,,,,,,,,,,,,,,,,,,,,,,
Noob Play,,Noob Play,Нубская игра,çaylak oyunu,Juego novato,Main Noob,,,,,,,,,,,,,,,,,,,,,,
CHARACTER EDITOR,,CHARACTER EDITOR,РЕДАКТОР ПЕРСОНАЖЕЙ,KARAKTER EDİTÖRÜ,EDITOR DE CARACTERES,EDITOR KARAKTER,,,,,,,,,,,,,,,,,,,,,,
Want to have your skin added to the game?,,Want to have your skin added to the game?,"Хотите, чтобы ваш скин был добавлен в игру?",Görünümünüzün oyuna eklenmesini ister misiniz?,¿Quieres que agreguemos tu aspecto al juego?,Ingin kulit Anda ditambahkan ke dalam game?,,,,,,,,,,,,,,,,,,,,,,
human ragdoll,,human ragdoll,человеческий рэгдолл,insan bez bebeği,muñeco de trapo humano,boneka manusia,,,,,,,,,,,,,,,,,,,,,,
FIGHT,,FIGHT,ДРАТЬСЯ,KAVGA,LUCHAR,BERTARUNG,,,,,,,,,,,,,,,,,,,,,,
Remove the barricades,,Remove the barricades,Убрать баррикады,Barikatları kaldırın,Quitar las barricadas,Hapus barikade,,,,,,,,,,,,,,,,,,,,,,
Continue,,Continue,Продолжать,Devam etmek,Continuar,Melanjutkan,,,,,,,,,,,,,,,,,,,,,,
Hacker,,Hacker,Хакер,Hacker,hacker,Peretas,,,,,,,,,,,,,,,,,,,,,,
Big,,Big,Большой,Büyük,Grande,Besar,,,,,,,,,,,,,,,,,,,,,,
Small,,Small,Маленький,Küçük,Pequeño,Kecil,,,,,,,,,,,,,,,,,,,,,,
Convulsion,,Convulsion,Судороги,Konvülsiyonlar,Convulsión,Ledakan,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PickUpStartLoot_Education,,Pick up coins,Собирайте монеты,Para topla,recoger monedas,Ambil koin,,,,,,,,,,,,,,,,,,,,,,
BuildBarrackFirst_Education,,Build a barrack,Постройте казарму,Kışla inşa et,construir un cuartel,Bangun barak,,,,,,,,,,,,,,,,,,,,,,
StartFight_Education,,Start a fight,Начните бой,Dövüşü başlat,empezar una pelea,Mulailah perkelahian,,,,,,,,,,,,,,,,,,,,,,
DuringFightFirst_Education,,Fight to the last!,Сражайтесь до последнего!,Sonuna kadar savaşın!,¡Lucha hasta el final!,Berjuang sampai akhir!,,,,,,,,,,,,,,,,,,,,,,
LootAfterFight_Education,,"Oops... You need more power, collect the coins","Упс... Нужно больше силы, соберите монетки ","Hata... Daha fazla güce ihtiyacınız var, para toplayın ","Ups... Necesitas más poder, recoge las monedas.","Ups... Anda membutuhkan lebih banyak kekuatan, kumpulkan koin",,,,,,,,,,,,,,,,,,,,,,
IncreaseLevel_Education,,Increase level,Повысьте уровень,Seviye Atlama,aumentar nivel,Tingkatkan level,,,,,,,,,,,,,,,,,,,,,,
BuildTank_Education,,Open the tanks,Откройте танки ,Tankları aç ,abrir los tanques,Buka tangki,,,,,,,,,,,,,,,,,,,,,,
BuildBarrackSecond_Education,,Build a new barrack,Постройте новую казарму,Yeni bir kışla inşa et,construir un nuevo cuartel,Bangun barak baru,,,,,,,,,,,,,,,,,,,,,,
StartFightAgain_Education,,Revenge! Back to the fight,Реванш! Снова в бой,İntikam! Savaşa geri dön,¡Venganza! De vuelta a la pelea,Pembalasan dendam! Kembali ke pertarungan,,,,,,,,,,,,,,,,,,,,,,
DuringFightSecond_Education,,Fight with new support!,Сражайтесь с новой поддержкой!,Yeni destekle savaşın!,¡Lucha con nuevo soporte!,Bertarung dengan dukungan baru!,,,,,,,,,,,,,,,,,,,,,,
PickUpFlag_Education,,Pick up flag!,Поднимите флаг!,Bayrağı alın!,¡Recoge la bandera!,Angkat bendera!,,,,,,,,,,,,,,,,,,,,,,
UpgradeStat_Education,,Improve stats,Улучшите показатели,İstatistikleri iyileştirin,Mejorar estadísticas,Tingkatkan statistik,,,,,,,,,,,,,,,,,,,,,,
UseBomb_Education,,Drop atomic bomb!,Сбросте атомную бомбу!,Atom bombası atın!,¡Lanzar bomba atómica!,Jatuhkan bom atom!,,,,,,,,,,,,,,,,,,,,,,
