Language,,ENGLISH,RUSSIAN,TURKISH,SPANISH,INDONESIAN,GERMAN,FRENCH,ITALIAN,PORTUGUESE,BELARUSIAN,UKRAINIAN,AZERBAIJANIAN,JAPANESE,ARABIAN,ARMENIAN,GEORGIAN,HEBREW,ESTONIAN,KAZAKH,KYRGYZ,LITHUANIAN,LATVIAN,ROMANIAN,TAJICK,TURKMEN,UZBEK,HINDI
unlock all,,unlock all,разблокировать все,hepsinin kilidini aç,desbloquear todo,membuka kunci semua,,,,,,,,,,,,,,,,,,,,,,
remove ad,,remove ad,,reklamı kaldır,eliminar anuncio,hapus iklan,,,,,,,,,,,,,,,,,,,,,,
show texture,,show texture,показать текстуру,dokuyu göster,mostrar textura,menunjukkan tekstur,,,,,,,,,,,,,,,,,,,,,,
CHEAT MENU,,CHEAT MENU,ЧИТ-МЕНЮ,Reklam..,MENÚ DE TRUCOS,MENU CHEAT,,,,,,,,,,,,,,,,,,,,,,
CLAIM,,CLAIM,ТРЕБОВАТЬ,{0} reklam..,AFIRMAR,MENGEKLAIM,,,,,,,,,,,,,,,,,,,,,,
SPIN,,SPIN,ВРАЩАТЬСЯ,DÖNDÜRMEK,GIRAR,PUTARAN,,,,,,,,,,,,,,,,,,,,,,
Review,,Review,Обзор,Ses,Revisar,Tinjauan,,,,,,,,,,,,,,,,,,,,,,
Which character to add in the update?,,Which character to add in the update?,Какого персонажа добавить в обновление?,Usta,¿Qué personaje agregar en la actualización?,Karakter mana yang ditambahkan dalam pembaruan?,,,,,,,,,,,,,,,,,,,,,,
HALLOWEEN,,HALLOWEEN,ХЭЛЛОУИН,Müzik,VÍSPERA DE TODOS LOS SANTOS,HALLOWEEN,,,,,,,,,,,,,,,,,,,,,,
STARTER PACK,,STARTER PACK,СТАРТОВЫЙ ПАКЕТ,SXF,PAQUETE DE INICIO,PAKET STARTER,,,,,,,,,,,,,,,,,,,,,,
STARER PACK,,STARER PACK,СТАРЕР ПАКЕТ,UI,PAQUETE ESTRELLA,PAKET BINTANG,,,,,,,,,,,,,,,,,,,,,,
Сommunity,,Сommunity,Сообщество,Topluluk,comunidad,Komunitas,,,,,,,,,,,,,,,,,,,,,,
ULTIMATE PACK,,ULTIMATE PACK,ЛУЧШИЙ ПАКЕТ,Kontroller,PAQUETE ÚLTIMO,PAKET TERBAIK,,,,,,,,,,,,,,,,,,,,,,
NEW YEAR,,NEW YEAR,НОВЫЙ ГОД,"Ne kadar uzun, o kadar yüksek!",AÑO NUEVO,TAHUN BARU,,,,,,,,,,,,,,,,,,,,,,
Ok,,Ok,Хорошо,Taşınmak,De acuerdo,Oke,,,,,,,,,,,,,,,,,,,,,,
Reward ad is not loaded yet,,Reward ad is not loaded yet,Объявление с вознаграждением еще не загружено,Zıplamak,El anuncio de recompensa aún no está cargado,Iklan hadiah belum dimuat,,,,,,,,,,,,,,,,,,,,,,
SPEAKERNOOB,,SPEAKERNOOB,СПИКЕРНУБ,Duraklat,ALTAVOZ,PEMBICARA NOOB,,,,,,,,,,,,,,,,,,,,,,
TITAN,,TITAN,ТИТАН,Kamera,TITÁN,TITAN,,,,,,,,,,,,,,,,,,,,,,
CAMERANOOB,,CAMERANOOB,КАМЕРАНУБ,Son kontrol noktasına,CAMERANOOB,KAMERANOOB,,,,,,,,,,,,,,,,,,,,,,
TITAN,,TITAN,ТИТАН,Dostluk Yolu,TITÁN,TITAN,,,,,,,,,,,,,,,,,,,,,,
Lucky,,Lucky,Удачливый,Zorluk,Afortunado,Beruntung,,,,,,,,,,,,,,,,,,,,,,
Block,,Block,Блокировать,Girin,Bloquear,Memblokir,,,,,,,,,,,,,,,,,,,,,,
AD AVAILABLE,,AD AVAILABLE,ОБЪЯВЛЕНИЕ ДОСТУПНО,Cehennem kulesi,ANUNCIO DISPONIBLE,IKLAN TERSEDIA,,,,,,,,,,,,,,,,,,,,,,
Ads will be shown 10s later,,Ads will be shown 10s later,Объявления будут показаны через 10 секунд.,Reklamlar 10 saniye sonra gösterilecek,Los anuncios se mostrarán 10 segundos después.,Iklan akan ditampilkan 10 detik kemudian,,,,,,,,,,,,,,,,,,,,,,
FOREVER,,FOREVER,НАВСЕГДА,SONSUZA KADAR,PARA SIEMPRE,SELAMANYA,,,,,,,,,,,,,,,,,,,,,,
AD NOT AVAILABLE,,AD NOT AVAILABLE,ОБЪЯВЛЕНИЕ НЕ ДОСТУПНО,REKLAM MEVCUT DEĞİL,ANUNCIO NO DISPONIBLE,IKLAN TIDAK TERSEDIA,,,,,,,,,,,,,,,,,,,,,,
TV NOOB,,TV NOOB,ТВ-НУБ,TV NOOB'u,NOVATO DE LA TV,TV NOOB,,,,,,,,,,,,,,,,,,,,,,
Here's bonus for you!,,Here's bonus for you!,Вот вам бонус!,İşte size bonus!,¡Aquí tienes un bono!,Ini bonusnya untukmu!,,,,,,,,,,,,,,,,,,,,,,
Restore purchases,,Restore purchases,Восстановление покупок,Satın alınanları geri yükle,Restaurar compras,Pulihkan pembelian,,,,,,,,,,,,,,,,,,,,,,
Unlock,,Unlock,Разблокировать,Kilidini aç,Descubrir,Membuka kunci,,,,,,,,,,,,,,,,,,,,,,
10s to ad timer,,10s to ad timer,10 секунд до таймера рекламы,Tıklayın - kontrol noktasına ışınlanın,10 segundos al temporizador de anuncios,10 detik ke pengatur waktu iklan,,,,,,,,,,,,,,,,,,,,,,
Volcano,,Volcano,Вулкан,Volkan,Volcán,Gunung berapi,,,,,,,,,,,,,,,,,,,,,,
Start a war ->,,Start a war ->,Начать войну ->,Bir savaş başlat ->,Iniciar una guerra ->,Mulai perang ->,,,,,,,,,,,,,,,,,,,,,,
New 3 Characters!,,New 3 Characters!,Новые 3 персонажа!,Yeni 3 karakter!,¡Nuevos 3 personajes!,3 karakter baru!,,,,,,,,,,,,,,,,,,,,,,
Are you sure you want,,Are you sure you want,"Вы уверены, что хотите",istediğinden emin misin,¿Estás seguro de que quieres,Apakah kamu yakin kamu mau,,,,,,,,,,,,,,,,,,,,,,
CLEAR MAP?,,CLEAR MAP?,ОЧИСТИТЬ КАРТУ?,HARİTA TEMİZLENSİN Mİ?,¿BORRAR MAPA?,HAPUS PETA?,,,,,,,,,,,,,,,,,,,,,,
CLICK TO GET!,,CLICK TO GET!,"НАЖМИТЕ, ЧТОБЫ ПОЛУЧИТЬ!",ALMAK İÇİN TIKLAYIN!,¡HAGA CLIC PARA OBTENER!,KLIK UNTUK MENDAPATKAN!,,,,,,,,,,,,,,,,,,,,,,
Daily Reward,,Daily Reward,Ежедневная награда,Günlük Ödül,Recompensa diaria,Hadiah Harian,,,,,,,,,,,,,,,,,,,,,,
Get,,Get,Получать,Almak,Conseguir,Mendapatkan,,,,,,,,,,,,,,,,,,,,,,
Lock camera,,Lock camera,Заблокировать камеру,Kamerayı engelle,bloquear cámara,Kunci kamera,,,,,,,,,,,,,,,,,,,,,,
zoom,,zoom,масштабировать,ölçek,zoom,memperbesar,,,,,,,,,,,,,,,,,,,,,,
Advertising in,,Advertising in,Реклама в,Reklam verme,Publicidad en,Beriklan di,,,,,,,,,,,,,,,,,,,,,,
ad,,ad,объявление,reklam,anuncio,iklan,,,,,,,,,,,,,,,,,,,,,,
Protect noob,,Protect noob,Защити нуба,Noob'u koruyun,Proteger al novato,Lindungi pemula,,,,,,,,,,,,,,,,,,,,,,
Want more items?,,Want more items?,Хотите больше товаров?,Daha fazla ürün ister misiniz?,¿Quieres más artículos?,Ingin lebih banyak item?,,,,,,,,,,,,,,,,,,,,,,
Tired of advertising?,,Tired of advertising?,Устали от рекламы?,Reklamlardan bıktınız mı?,¿Estás cansado de la publicidad?,Bosan beriklan?,,,,,,,,,,,,,,,,,,,,,,
Do you want more weapons?,,Do you want more weapons?,Хотите больше оружия?,Daha fazla silah mı istiyorsunuz?,¿Quieres más armas?,Apakah Anda ingin lebih banyak senjata?,,,,,,,,,,,,,,,,,,,,,,
Want more characters?,,Want more characters?,Хотите больше персонажей?,Daha fazla karakter mi istiyorsunuz?,¿Quieres más personajes?,Ingin lebih banyak karakter?,,,,,,,,,,,,,,,,,,,,,,
Do you have an idea?,,Do you have an idea?,У вас есть идея?,Bir fikrin var mı?,¿Tienes una idea?,Apakah Anda punya ide?,,,,,,,,,,,,,,,,,,,,,,
Write a review!,,Write a review!,Напишите отзыв!,Bir inceleme yazın!,¡Escribe una reseña!,Tulis ulasan!,,,,,,,,,,,,,,,,,,,,,,
(Click to go),,(Click to go),"(Нажмите, чтобы пойти)",(Gitmek için tıklayın),(Haga clic para ir),(Klik untuk pergi),,,,,,,,,,,,,,,,,,,,,,
Submit your skin by August 20 in our community. We will pick a winner at random and add it to the game FOREVER!,,Submit your skin by August 20 in our community. We will pick a winner at random and add it to the game FOREVER!,Отправьте свой скин до 20 августа в нашем сообществе. Мы случайным образом выберем победителя и добавим его в игру НАВСЕГДА!,Cildinizi 20 Ağustos'tan önce topluluğumuza gönderin. Rastgele bir kazanan seçeceğiz ve onu sonsuza dek oyuna ekleyeceğiz!,Envía tu skin antes del 20 de agosto en nuestra comunidad. ¡Elegiremos un ganador al azar y lo agregaremos al juego PARA SIEMPRE!,Kirimkan skin Anda paling lambat tanggal 20 Agustus di komunitas kami. Kami akan memilih pemenang secara acak dan menambahkannya ke dalam game SELAMANYA!,,,,,,,,,,,,,,,,,,,,,,
Noob Play,,Noob Play,Нубская игра,çaylak oyunu,Juego novato,Main Noob,,,,,,,,,,,,,,,,,,,,,,
CHARACTER EDITOR,,CHARACTER EDITOR,РЕДАКТОР ПЕРСОНАЖЕЙ,KARAKTER EDİTÖRÜ,EDITOR DE CARACTERES,EDITOR KARAKTER,,,,,,,,,,,,,,,,,,,,,,
Want to have your skin added to the game?,,Want to have your skin added to the game?,"Хотите, чтобы ваш скин был добавлен в игру?",Görünümünüzün oyuna eklenmesini ister misiniz?,¿Quieres que agreguemos tu aspecto al juego?,Ingin kulit Anda ditambahkan ke dalam game?,,,,,,,,,,,,,,,,,,,,,,
human ragdoll,,human ragdoll,человеческий рэгдолл,insan bez bebeği,muñeco de trapo humano,boneka manusia,,,,,,,,,,,,,,,,,,,,,,
FIGHT,,FIGHT,ДРАТЬСЯ,KAVGA,LUCHAR,BERTARUNG,,,,,,,,,,,,,,,,,,,,,,
Remove the barricades,,Remove the barricades,Убрать баррикады,Barikatları kaldırın,Quitar las barricadas,Hapus barikade,,,,,,,,,,,,,,,,,,,,,,
Continue,,Continue,Продолжать,Devam etmek,Continuar,Melanjutkan,,,,,,,,,,,,,,,,,,,,,,
Hacker,,Hacker,Хакер,Hacker,pirata informático,Peretas,,,,,,,,,,,,,,,,,,,,,,
Big,,Big,Большой,Büyük,Grande,Besar,,,,,,,,,,,,,,,,,,,,,,
Small,,Small,Маленький,Küçük,Pequeño,Kecil,,,,,,,,,,,,,,,,,,,,,,
Convulsion,,Convulsion,Судороги,Konvülsiyonlar,Convulsión,Ledakan,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PickUpStartLoot_Education,,Pick up coins,Собирайте монеты,Para topla,recoger monedas,Ambil koin,,,,,,,,,,,,,,,,,,,,,,
BuildBarrack_Education,,Build a barrack,Постройте казарму,Kışla inşa et,construir un cuartel,Bangun barak,,,,,,,,,,,,,,,,,,,,,,
StartFight_Education,,Start a fight,Начните бой,Dövüşü başlat,empezar una pelea,Mulailah perkelahian,,,,,,,,,,,,,,,,,,,,,,
DuringFight_Education,,Fight to the last!,Сражайтесь до последнего!,Sonuna kadar savaşın!,¡Lucha hasta el final!,Berjuang sampai akhir!,,,,,,,,,,,,,,,,,,,,,,
LootAfterFight_Education,,"Oops... You need more power, collect the coins","Упс... Нужно больше силы, соберите монетки ","Hata... Daha fazla güce ihtiyacınız var, para toplayın ","Ups... Necesitas más poder, recoge las monedas.","Ups... Anda membutuhkan lebih banyak kekuatan, kumpulkan koin",,,,,,,,,,,,,,,,,,,,,,
BuildTank_Education,,Open the tanks,Откройте танки ,Tankları aç ,abrir los tanques,Buka tangki,,,,,,,,,,,,,,,,,,,,,,
StartFightAgain_Education,,Revenge! Back to the fight,Реванш! Снова в бой,İntikam! Savaşa geri dön,¡Venganza! De vuelta a la pelea,Pembalasan dendam! Kembali ke pertarungan,,,,,,,,,,,,,,,,,,,,,,
(Click to go),,(Click to go),"(Нажмите, чтобы пойти)",(Gitmek için tıklayın),(Haga clic para ir),(Klik untuk pergi),,,,,,,,,,,,,,,,,,,,,,
unlock all*,,unlock all*,разблокировать все*,hepsinin kilidini aç*,desbloquear todo*,buka kunci semua*,,,,,,,,,,,,,,,,,,,,,,
SPEAKERNOOB*TITAN,,SPEAKERNOOB*TITAN,СПИКЕРНООБ*ТИТАН,KONUŞMACI*TITAN,ALTAVOZ*TITAN,SPEAKERNOOB*TITAN,,,,,,,,,,,,,,,,,,,,,,
CAMERANOOB*TITAN,,CAMERANOOB*TITAN,КАМЕРАНУБ*ТИТАН,KAMERANOOB*TITAN,CAMERANOOB*TITAN,KAMERANOOB*TITAN,,,,,,,,,,,,,,,,,,,,,,
Lucky*Block,,Lucky*Block,Лаки*Блок,Şanslı*Blok,Bloque de la suerte*,Beruntung*Blok,,,,,,,,,,,,,,,,,,,,,,
Ads will be shown 10s later*FOREVER,,Ads will be shown 10s later*FOREVER,Объявления будут показываться через 10 секунд*НАВСЕГДА,Reklamlar 10 saniye sonra gösterilecek*SONSUZ,Los anuncios se mostrarán 10 segundos después*PARA SIEMPRE,Iklan akan ditampilkan 10 detik kemudian* SELAMANYA,,,,,,,,,,,,,,,,,,,,,,
Are you sure you want*CLEAR MAP?,,Are you sure you want*CLEAR MAP?,"Вы уверены, что хотите*ОЧИСТИТЬ КАРТУ?",*HARİTA TEMİZLEMEK istediğinizden emin misiniz?,¿Estás seguro de que quieres*BORRAR MAPA?,Apakah Anda yakin ingin*HAPUS PETA?,,,,,,,,,,,,,,,,,,,,,,
Do you have an idea?*Write a review!*(Click to go),,Do you have an idea?*Write a review!*(Click to go),"У вас есть идея?*Напишите отзыв!*(Нажмите, чтобы перейти)",Bir fikriniz mi var?*Bir değerlendirme yazın!*(Gitmek için tıklayın),¿Tienes una idea?*¡Escribe una reseña!*(Haz clic para ir),Apakah Anda punya ide?*Tulis ulasan!*(Klik untuk pergi),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unlock,,unlock,разблокировать,kilidini aç,descubrir,membuka kunci,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
premium_pass,,"Weekly Premium Pass automatically renews for 9.99$ per week after the 3-day free trial. Payment will be charged to your Google Play account at the end of the trial period of purchase. The subscription automatically renews unless auto-renew is turned off at least 24 hours before the end of the current period. You can manage and turn off auto-renewal of the subscription by going to your account settings on Google Play after purchase. Alternatively, you can cancel subscrition by going to Google Play Subscription Center. Any unused portion of a free trial period will be forfeited when the user purchases a subscription to that publication, where applicable.","Еженедельный премиум-пасс автоматически продлевается за 9,99 доллара США в неделю после трехдневной бесплатной пробной версии. Оплата будет снята с вашей учетной записи Google Play в конце пробного периода покупки. Подписка продлевается автоматически, если автоматическое продление не отключено как минимум за 24 часа до окончания текущего периода. Вы можете управлять и отключать автоматическое продление подписки, зайдя в настройки своего аккаунта в Google Play после покупки. Кроме того, вы можете отменить подписку, перейдя в Центр подписки Google Play. Любая неиспользованная часть бесплатного пробного периода будет аннулирована, когда пользователь приобретет подписку на эту публикацию, где это применимо.","Haftalık Premium Pass, 3 günlük ücretsiz deneme süresinden sonra haftada 9,99$ karşılığında otomatik olarak yenilenir. Ödeme, satın alma deneme süresinin sonunda Google Play hesabınızdan tahsil edilecektir. Otomatik yenileme, cari dönemin bitiminden en az 24 saat önce kapatılmadığı sürece abonelik otomatik olarak yenilenir. Satın alma işleminden sonra Google Play'de hesap ayarlarınıza giderek aboneliğin otomatik olarak yenilenmesini yönetebilir ve kapatabilirsiniz. Alternatif olarak Google Play Abonelik Merkezi'ne giderek aboneliği iptal edebilirsiniz. Kullanıcı söz konusu yayına abonelik satın aldığında ücretsiz deneme süresinin kullanılmayan kısmı, uygun olduğu durumlarda, kaybedilecektir.","El Pase Premium Semanal se renueva automáticamente por 9,99 $ por semana después de la prueba gratuita de 3 días. El pago se cargará a su cuenta de Google Play al final del período de prueba de compra. La suscripción se renueva automáticamente a menos que se desactive la renovación automática al menos 24 horas antes del final del período actual. Puede administrar y desactivar la renovación automática de la suscripción yendo a la configuración de su cuenta en Google Play después de la compra. Alternativamente, puede cancelar la suscripción yendo al Centro de suscripciones de Google Play. Cualquier parte no utilizada de un período de prueba gratuito se perderá cuando el usuario compre una suscripción a esa publicación, cuando corresponda.","Tiket Premium Mingguan diperpanjang secara otomatis seharga $9,99 per minggu setelah uji coba gratis 3 hari. Pembayaran akan dibebankan ke akun Google Play Anda di akhir masa percobaan pembelian. Langganan diperpanjang secara otomatis kecuali perpanjangan otomatis dimatikan setidaknya 24 jam sebelum akhir periode berjalan. Anda dapat mengelola dan mematikan perpanjangan otomatis langganan dengan masuk ke pengaturan akun Anda di Google Play setelah pembelian. Alternatifnya, Anda dapat membatalkan langganan dengan membuka Pusat Langganan Google Play. Bagian masa uji coba gratis yang tidak terpakai akan hangus saat pengguna membeli langganan publikasi tersebut, jika berlaku.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
days_trial,,BUY,КУПИТЬ,SATIN ALMAK,COMPRAR,MEMBELI,,,,,,,,,,,,,,,,,,,,,,
no_ads,,NO ADS,БЕЗ РЕКЛАМЫ,REKLAM YOK,SIN ANUNCIOS,TANPA IKLAN,,,,,,,,,,,,,,,,,,,,,,
PREMIUM,,PREMIUM,ПРЕМИУМ,PREMIUM,DE PRIMERA CALIDAD,PREMI,,,,,,,,,,,,,,,,,,,,,,
ALL_SKINS,,ALL SKINS,ВСЕ СКИНЫ,TÜM CİLTLER,TODAS LAS PIELES,SEMUA KULIT,,,,,,,,,,,,,,,,,,,,,,
ALL_ITEMS,,ALL ITEMS,ВСЕ ТОВАРЫ,TÜM ÜRÜNLER,TODOS LOS ARTÍCULOS,SEMUA ITEM,,,,,,,,,,,,,,,,,,,,,,
EVENT_ACCESS,,EVENT ACCESS,ДОСТУП К СОБЫТИЯМ,ETKİNLİK ERİŞİMİ,ACCESO AL EVENTO,AKSES ACARA,,,,,,,,,,,,,,,,,,,,,,
